wavelength_nm,Dark,Light,Sample
419.78443483986297,1253.8378676605178,3808.308888931264,3749.719782943719
419.9963629589068,1259.3957828521727,3869.584953918456,3810.1398609924377
420.2082792769804,1257.2513155746421,3836.2939619064246,3777.6508567428446
420.42018379164597,1258.3457988738983,3746.4483328628544,3688.703713989259
420.6320765004652,1255.7738381195059,3826.60110980986,3771.67944786071
420.84395740099995,1258.3782983779915,3774.3299074173055,3717.0517814254895
421.0558264908124,1254.7393539047205,3838.0034358215275,3779.1528338241574
421.2676837674644,1258.5282960891723,3732.5020456695406,3675.4209166717565
421.4795292285179,1254.071364097596,3893.229593124386,3835.2139783859093
421.69136287153475,1259.3612833786046,3862.8085573196354,3806.376918411248
421.903184694077,1257.9893043136626,3971.4223999786236,3913.616282043463
422.1149946937065,1257.155817031864,3902.1279573440675,3845.173326416014
422.32679286798515,1257.4678122711184,3911.694811363215,3853.83119430541
422.538579214475,1258.2548002624512,3866.6989979553173,3807.057908020018
422.75035373073797,1256.4663275527942,3865.495516319264,3806.0714230728204
422.962116414336,1259.133786849971,3913.8932778167714,3851.7952253723165
423.1738672628309,1254.6883546829233,3932.868988265994,3875.4898638153063
423.38560627378473,1258.2538002777123,3961.606549758912,3900.508482055672
423.5973334447594,1253.8498674774119,3802.9384708786015,3747.1953214645305
423.8090487733168,1261.1417562103277,3983.085222015377,3919.8776865005384
424.020752257019,1256.0108345031751,3963.533020362854,3901.7659628677284
424.23244389342767,1256.7598230743429,3868.5079703521633,3811.4838404846264
424.4441236801051,1254.862352027893,3837.88293766021,3782.6962797546325
424.65579161461295,1259.558280372627,3940.328374443052,3880.2967904663133
424.8674476945133,1255.8743365859964,3923.337133712777,3863.9405400466826
425.079091917368,1258.9947889709485,3884.1972309494063,3826.4726117706437
425.29072428073897,1258.555795669554,4032.14097347259,3970.186918830869
425.5023447821883,1257.519811477664,3822.101178474427,3766.0100343704157
425.71395341927774,1255.3893439865114,3888.820660400389,3829.2195698547334
425.9255501895693,1259.0742877578728,4007.906343269349,3945.803790893553
426.13713509062495,1258.1003026199367,4163.240473022472,4102.105905876162
426.34870812000656,1257.292814941408,3993.793058624274,3936.0134402847275
426.56026927527626,1256.5248266601582,3948.319252510071,3888.0256725311287
426.77181855399573,1260.8527606201164,3959.854576492311,3900.9139758682236
426.98335595372697,1253.6818700408949,4009.508318824773,3951.319706726073
427.19488147203197,1258.5367959594726,4017.4816971588075,3957.8666068267744
427.4063951064727,1255.6998392486605,3957.565611419679,3898.9725054931587
427.61789685461105,1258.5927951049814,3964.0920118332024,3905.4754062652555
427.8293867140088,1253.7028697204569,4072.1068636322084,4007.919343070982
428.04086468222823,1257.3223144912718,4003.6969075012194,3945.8807897186425
428.25233075683093,1254.3498598480214,4072.8318525695845,4011.878782653809
428.4637849353791,1257.8158069610636,3957.4811127090443,3897.529527511591
428.6752272154345,1255.4498430633537,4160.45801548005,4094.566520919817
428.8866575945592,1256.8678214263896,4088.485613708501,4027.3590464401223
429.098076070315,1257.4393127059914,4096.811486663814,4036.848901634211
429.309482640264,1258.7697924041781,4006.7243613052324,3949.665231971743
429.5208773019679,1256.4013285446167,3936.8064281845086,3879.72629917144
429.7322600529889,1258.7782922744736,4109.8892871093785,4046.785250015253
429.94363089088876,1256.3823288345336,4105.4778544235405,4042.6328133773873
430.1549898132295,1255.9393355941788,3918.9217010879556,3863.0655533981203
430.36633681757297,1255.6128405761717,4067.870928268421,4006.5148645019467
430.57767190148115,1257.8188069152854,4169.360879631038,4104.536868782045
430.78899506251605,1256.0053345871013,4070.4713885879587,4006.6398625946163
431.00030629823954,1260.4492667770378,4017.8521915054275,3958.1776020813036
431.2116056062135,1255.6333402633707,4098.3614630127,4034.1829423141444
431.42289298399993,1256.6953240585337,4054.928125762938,3994.208552284233
431.6341684291608,1258.3237992095947,4250.721138153076,4187.084609184262
431.84543193925805,1256.4143283462568,4169.479377822876,4105.800849494925
432.05668351185346,1255.851836929324,4207.3592998123295,4143.351776504522
432.2679231445091,1258.5122963333145,4246.971195373547,4180.587708320614
432.47915083478694,1255.8978362274156,4156.04208286286,4093.342039604184
432.69036658024885,1259.3132841110266,4069.8798976135186,4007.783345146173
432.90157037845677,1254.730854034423,4056.895095748905,3995.822027664185
433.1127622269727,1258.4252976608277,4134.750407753003,4069.8943973922715
433.3239421233584,1255.373344230653,4195.728477287303,4132.555441246043
